CPU001,CPU 1 ubuntu2004,User%,Sys%,Wait%,Idle%,Steal%
CPU001,T0351,1.0,99.0,0.0,0.0,0.0
CPU001,T0352,0.0,100.0,0.0,0.0,0.0
CPU001,T0353,0.0,100.0,0.0,0.0,0.0
CPU001,T0354,0.0,100.0,0.0,0.0,0.0
CPU001,T0355,0.0,100.0,0.0,0.0,0.0
CPU001,T0356,0.0,100.0,0.0,0.0,0.0
CPU001,T0357,0.0,100.0,0.0,0.0,0.0
CPU001,T0358,0.0,100.0,0.0,0.0,0.0
CPU001,T0359,0.0,100.0,0.0,0.0,0.0
CPU001,T0360,2.0,98.0,0.0,0.0,0.0
CPU001,T0361,0.0,100.0,0.0,0.0,0.0
CPU001,T0362,0.0,100.0,0.0,0.0,0.0
CPU001,T0363,0.0,100.0,0.0,0.0,0.0
CPU001,T0364,0.0,100.0,0.0,0.0,0.0
CPU001,T0365,0.0,100.0,0.0,0.0,0.0
CPU001,T0366,0.0,100.0,0.0,0.0,0.0
CPU001,T0367,0.0,100.0,0.0,0.0,0.0
CPU001,T0368,0.0,100.0,0.0,0.0,0.0
CPU001,T0369,0.0,100.0,0.0,0.0,0.0
CPU001,T0370,1.0,99.0,0.0,0.0,0.0
CPU001,T0371,0.0,100.0,0.0,0.0,0.0
CPU001,T0372,0.0,100.0,0.0,0.0,0.0
CPU001,T0373,0.0,100.0,0.0,0.0,0.0
CPU001,T0374,0.0,100.0,0.0,0.0,0.0
CPU001,T0375,0.0,100.0,0.0,0.0,0.0
CPU001,T0376,0.0,100.0,0.0,0.0,0.0
CPU001,T0377,0.0,100.0,0.0,0.0,0.0
CPU001,T0378,0.0,100.0,0.0,0.0,0.0
CPU001,T0379,1.0,99.0,0.0,0.0,0.0
CPU001,T0380,0.0,100.0,0.0,0.0,0.0
CPU001,T0381,0.0,100.0,0.0,0.0,0.0
CPU001,T0382,0.0,100.0,0.0,0.0,0.0
CPU001,T0383,0.0,100.0,0.0,0.0,0.0
CPU001,T0384,0.0,100.0,0.0,0.0,0.0
CPU001,T0385,0.0,100.0,0.0,0.0,0.0
CPU001,T0386,0.0,100.0,0.0,0.0,0.0
CPU001,T0387,0.0,100.0,0.0,0.0,0.0
CPU001,T0388,0.0,100.0,0.0,0.0,0.0
CPU001,T0389,0.0,100.0,0.0,0.0,0.0
CPU001,T0390,0.0,100.0,0.0,0.0,0.0
CPU001,T0391,0.0,100.0,0.0,0.0,0.0
CPU001,T0392,1.0,99.0,0.0,0.0,0.0
CPU001,T0393,0.0,100.0,0.0,0.0,0.0
CPU001,T0394,0.0,100.0,0.0,0.0,0.0
CPU001,T0395,0.0,100.0,0.0,0.0,0.0
CPU001,T0396,0.0,100.0,0.0,0.0,0.0
CPU001,T0397,1.0,99.0,0.0,0.0,0.0
CPU001,T0398,0.0,100.0,0.0,0.0,0.0
CPU001,T0399,0.0,100.0,0.0,0.0,0.0
CPU001,T0400,0.0,100.0,0.0,0.0,0.0
CPU001,T0401,0.0,100.0,0.0,0.0,0.0
CPU001,T0402,0.0,100.0,0.0,0.0,0.0
CPU001,T0403,0.0,100.0,0.0,0.0,0.0
CPU001,T0404,0.0,100.0,0.0,0.0,0.0
CPU001,T0405,0.0,100.0,0.0,0.0,0.0
CPU001,T0406,0.0,100.0,0.0,0.0,0.0
CPU001,T0407,1.0,99.0,0.0,0.0,0.0
CPU001,T0408,0.0,100.0,0.0,0.0,0.0
CPU001,T0409,0.0,100.0,0.0,0.0,0.0
CPU001,T0410,0.0,100.0,0.0,0.0,0.0
CPU001,T0411,0.0,100.0,0.0,0.0,0.0
CPU001,T0412,0.0,100.0,0.0,0.0,0.0
